Match Number,Round Number,Date,Location,Home Team,Away Team,Result
26,1,25/07/2020 20:10,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,4 - 5
27,1,25/07/2020 20:10,Citi Field,New York Mets,Atlanta Braves,3 - 5
28,1,25/07/2020 21:10,Great American Ball Park,Cincinnati Reds,Detroit Tigers,4 - 6
29,1,25/07/2020 21:10,Progressive Field,Cleveland Indians,Kansas City Royals,2 - 3
30,1,25/07/2020 23:15,Nationals Park,Washington Nationals,New York Yankees,9 - 2
31,1,26/07/2020 01:10,Petco Park,San Diego Padres,Arizona Diamondbacks,5 - 1
32,1,26/07/2020 17:05,Citizens Bank Park,Philadelphia Phillies,Miami Marlins,6 - 11
33,1,26/07/2020 17:05,Nationals Park,Washington Nationals,New York Yankees,2 - 3
34,1,26/07/2020 17:10,Great American Ball Park,Cincinnati Reds,Detroit Tigers,2 - 3
35,1,26/07/2020 17:10,Progressive Field,Cleveland Indians,Kansas City Royals,9 - 2
36,1,26/07/2020 17:10,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,6 - 5
37,1,26/07/2020 17:35,Fenway Park,Boston Red Sox,Baltimore Orioles,4 - 7
38,1,26/07/2020 18:10,Minute Maid Park,Houston Astros,Seattle Mariners,6 - 7
39,1,26/07/2020 18:10,Guaranteed Rate Field,Chicago White Sox,Minnesota Twins,2 - 14
40,1,26/07/2020 18:15,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,1 - 5
41,1,26/07/2020 18:20,Wrigley Field,Chicago Cubs,Milwaukee Brewers,9 - 1
42,1,26/07/2020 18:35,Globe Life Field,Texas Rangers,Colorado Rockies,2 - 5
43,1,26/07/2020 20:10,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,6 - 4
44,1,26/07/2020 20:10,Petco Park,San Diego Padres,Arizona Diamondbacks,3 - 4
45,1,26/07/2020 23:08,Citi Field,New York Mets,Atlanta Braves,1 - 14
46,1,27/07/2020 02:08,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,1 - 3
47,1,27/07/2020 19:40,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,3 - 0
48,1,27/07/2020 20:10,Petco Park,San Diego Padres,Arizona Diamondbacks,6 - 2
49,1,27/07/2020 22:05,Nationals Park,Washington Nationals,Toronto Blue Jays,1 - 4
50,1,27/07/2020 22:40,Great American Ball Park,Cincinnati Reds,Chicago Cubs,7 - 8
51,1,27/07/2020 22:40,Tropicana Field,Tampa Bay Rays,Atlanta Braves,14 - 5
52,1,27/07/2020 23:05,PNC Park,Pittsburgh Pirates,Milwaukee Brewers,5 - 6
53,1,27/07/2020 23:10,Comerica Park,Detroit Tigers,Kansas City Royals,6 - 14
54,1,27/07/2020 23:10,Minute Maid Park,Houston Astros,Seattle Mariners,8 - 5
55,1,27/07/2020 23:35,Fenway Park,Boston Red Sox,New York Mets,4 - 7
56,1,28/07/2020 03:33,Progressive Field,Cleveland Indians,Chicago White Sox,5 - 3
57,1,28/07/2020 19:40,Progressive Field,Cleveland Indians,Chicago White Sox,4 - 3
58,1,28/07/2020 22:05,Nationals Park,Washington Nationals,Toronto Blue Jays,1 - 5
59,1,28/07/2020 22:40,Great American Ball Park,Cincinnati Reds,Chicago Cubs,5 - 8
60,1,28/07/2020 22:40,Tropicana Field,Tampa Bay Rays,Atlanta Braves,5 - 2
61,1,28/07/2020 23:05,PNC Park,Pittsburgh Pirates,Milwaukee Brewers,8 - 6
62,1,28/07/2020 23:10,Comerica Park,Detroit Tigers,Kansas City Royals,4 - 3
63,1,28/07/2020 23:30,Fenway Park,Boston Red Sox,New York Mets,3 - 8
64,1,29/07/2020 00:10,Target Field,Minnesota Twins,St. Louis Cardinals,6 - 3
65,1,29/07/2020 01:05,Globe Life Field,Texas Rangers,Arizona Diamondbacks,1 - 4
66,1,29/07/2020 01:10,Minute Maid Park,Houston Astros,Los Angeles Dodgers,2 - 5
67,1,29/07/2020 01:40,Oakland Coliseum,Oakland Athletics,Colorado Rockies,3 - 8
68,1,29/07/2020 01:40,Angel Stadium,Los Angeles Angels,Seattle Mariners,10 - 2
69,1,29/07/2020 01:45,Oracle Park,San Francisco Giants,San Diego Padres,3 - 5
70,1,29/07/2020 19:40,Oakland Coliseum,Oakland Athletics,Colorado Rockies,1 - 5
71,1,29/07/2020 20:05,Globe Life Field,Texas Rangers,Arizona Diamondbacks,7 - 4
72,1,29/07/2020 22:05,Nationals Park,Toronto Blue Jays,Washington Nationals,0 - 4
73,1,29/07/2020 22:10,Progressive Field,Cleveland Indians,Chicago White Sox,0 - 4
74,1,29/07/2020 22:40,Great American Ball Park,Cincinnati Reds,Chicago Cubs,12 - 7
75,1,29/07/2020 23:05,PNC Park,Pittsburgh Pirates,Milwaukee Brewers,0 - 3
76,1,29/07/2020 23:10,Comerica Park,Detroit Tigers,Kansas City Royals,5 - 4
77,1,29/07/2020 23:10,Minute Maid Park,Houston Astros,Los Angeles Dodgers,2 - 4
78,1,29/07/2020 23:10,Citi Field,New York Mets,Boston Red Sox,5 - 6
79,1,29/07/2020 23:10,Truist Park,Atlanta Braves,Tampa Bay Rays,7 - 4
80,1,29/07/2020 23:35,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,3 - 9
81,1,30/07/2020 00:10,Target Field,Minnesota Twins,St. Louis Cardinals,3 - 0
82,1,30/07/2020 01:45,Oracle Park,San Francisco Giants,San Diego Padres,7 - 6
83,1,30/07/2020 02:10,Angel Stadium,Los Angeles Angels,Seattle Mariners,7 - 10
84,2,30/07/2020 20:05,Nationals Park,Toronto Blue Jays,Washington Nationals,4 - 6
85,2,30/07/2020 23:05,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,6 - 8
86,2,30/07/2020 23:07,Citi Field,New York Mets,Boston Red Sox,2 - 4
87,2,30/07/2020 23:07,Target Field,Minnesota Twins,Cleveland Indians,0 - 2
88,2,30/07/2020 23:10,Comerica Park,Detroit Tigers,Kansas City Royals,3 - 5
89,2,30/07/2020 23:10,Truist Park,Atlanta Braves,Tampa Bay Rays,2 - 1
90,2,31/07/2020 01:40,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,3 - 6
91,2,31/07/2020 01:40,Angel Stadium,Los Angeles Angels,Seattle Mariners,5 - 8
92,2,31/07/2020 01:45,Oracle Park,San Francisco Giants,San Diego Padres,7 - 12
93,2,31/07/2020 23:05,Yankee Stadium,New York Yankees,Boston Red Sox,5 - 1
94,2,31/07/2020 23:10,Comerica Park,Detroit Tigers,Cincinnati Reds,7 - 2
95,2,31/07/2020 23:10,Truist Park,Atlanta Braves,New York Mets,11 - 10
96,2,31/07/2020 23:35,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,6 - 3
97,2,01/08/2020 00:05,Kauffman Stadium,Kansas City Royals,Chicago White Sox,2 - 3
98,2,01/08/2020 00:10,Coors Field,Colorado Rockies,San Diego Padres,7 - 8
99,2,01/08/2020 00:10,Target Field,Minnesota Twins,Cleveland Indians,4 - 1
100,2,01/08/2020 00:15,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,6 - 3
101,2,01/08/2020 01:10,Angel Stadium,Los Angeles Angels,Houston Astros,6 - 9
102,2,01/08/2020 01:10,Oracle Park,San Francisco Giants,Texas Rangers,9 - 2
103,2,01/08/2020 01:40,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,5 - 3
104,2,01/08/2020 01:40,T-Mobile Park,Seattle Mariners,Oakland Athletics,5 - 3
105,2,01/08/2020 23:05,Kauffman Stadium,Kansas City Royals,Chicago White Sox,5 - 11
106,2,01/08/2020 23:07,Angel Stadium,Los Angeles Angels,Houston Astros,5 - 4
107,2,01/08/2020 23:07,Yankee Stadium,New York Yankees,Boston Red Sox,5 - 2
108,2,01/08/2020 23:10,Target Field,Minnesota Twins,Cleveland Indians,3 - 0
109,2,01/08/2020 23:10,Truist Park,Atlanta Braves,New York Mets,7 - 1
110,2,01/08/2020 23:35,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,5 - 4
111,2,02/08/2020 00:10,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,2 - 11
112,2,02/08/2020 00:10,Coors Field,Colorado Rockies,San Diego Padres,6 - 1
113,2,02/08/2020 00:15,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,4 - 3
114,2,02/08/2020 01:10,T-Mobile Park,Seattle Mariners,Oakland Athletics,2 - 3
115,2,02/08/2020 01:10,Oracle Park,San Francisco Giants,Texas Rangers,7 - 3
116,2,02/08/2020 03:33,Comerica Park,Detroit Tigers,Cincinnati Reds,0 - 4
117,2,02/08/2020 16:10,Comerica Park,Detroit Tigers,Cincinnati Reds,3 - 4
118,2,02/08/2020 17:05,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,5 - 1
119,2,02/08/2020 17:10,Truist Park,Atlanta Braves,New York Mets,4 - 0
120,2,02/08/2020 18:05,Kauffman Stadium,Kansas City Royals,Chicago White Sox,2 - 9
121,2,02/08/2020 18:10,Target Field,Minnesota Twins,Cleveland Indians,3 - 1
122,2,02/08/2020 18:20,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,2 - 1
123,2,02/08/2020 19:10,Coors Field,Colorado Rockies,San Diego Padres,9 - 6
124,2,02/08/2020 20:05,Oracle Park,San Francisco Giants,Texas Rangers,5 - 9
125,2,02/08/2020 20:10,Angel Stadium,Los Angeles Angels,Houston Astros,5 - 6
126,2,02/08/2020 20:10,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,0 - 3
127,2,02/08/2020 20:10,T-Mobile Park,Seattle Mariners,Oakland Athletics,2 - 3
128,2,02/08/2020 23:08,Yankee Stadium,New York Yankees,Boston Red Sox,9 - 7
129,2,03/08/2020 22:40,Great American Ball Park,Cincinnati Reds,Cleveland Indians,3 - 2
130,2,03/08/2020 23:05,Yankee Stadium,New York Yankees,Philadelphia Phillies,6 - 3
131,2,03/08/2020 23:10,Truist Park,Atlanta Braves,New York Mets,2 - 7
132,2,04/08/2020 00:10,Target Field,Minnesota Twins,Pittsburgh Pirates,5 - 4
133,2,04/08/2020 00:10,Miller Park,Milwaukee Brewers,Chicago White Sox,4 - 6
134,2,04/08/2020 00:15,Wrigley Field,Chicago Cubs,Kansas City Royals,2 - 0
135,2,04/08/2020 00:40,Coors Field,Colorado Rockies,San Francisco Giants,7 - 6
136,2,04/08/2020 01:10,Petco Park,San Diego Padres,Los Angeles Dodgers,5 - 4
137,2,04/08/2020 01:10,T-Mobile Park,Seattle Mariners,Oakland Athletics,1 - 11
138,2,04/08/2020 18:10,Target Field,Minnesota Twins,Pittsburgh Pirates,7 - 3
139,2,04/08/2020 22:10,Great American Ball Park,Cincinnati Reds,Cleveland Indians,2 - 4
140,2,04/08/2020 22:40,Tropicana Field,Tampa Bay Rays,Boston Red Sox,5 - 1
141,2,04/08/2020 23:05,Nationals Park,Washington Nationals,New York Mets,5 - 3
142,2,04/08/2020 23:10,Truist Park,Atlanta Braves,Toronto Blue Jays,10 - 1
143,2,04/08/2020 23:35,Oriole Park at Camden Yards,Baltimore Orioles,Miami Marlins,0 - 4
144,2,05/08/2020 00:10,Miller Park,Milwaukee Brewers,Chicago White Sox,2 - 3
145,2,05/08/2020 00:15,Wrigley Field,Chicago Cubs,Kansas City Royals,5 - 4
146,2,05/08/2020 00:40,Coors Field,Colorado Rockies,San Francisco Giants,5 - 2
147,2,05/08/2020 01:10,Chase Field,Arizona Diamondbacks,Houston Astros,2 - 8
148,2,05/08/2020 01:10,Petco Park,San Diego Padres,Los Angeles Dodgers,2 - 5
149,2,05/08/2020 01:10,Oakland Coliseum,Oakland Athletics,Texas Rangers,5 - 1
150,2,05/08/2020 02:10,T-Mobile Park,Seattle Mariners,Los Angeles Angels,3 - 5
151,2,05/08/2020 03:33,Citizens Bank Park,Philadelphia Phillies,New York Yankees,1 - 3
152,2,05/08/2020 07:33,Oriole Park at Camden Yards,Miami Marlins,Baltimore Orioles,2 - 1
153,2,05/08/2020 20:05,Citizens Bank Park,New York Yankees,Philadelphia Phillies,7 - 11
154,2,05/08/2020 21:05,Oriole Park at Camden Yards,Baltimore Orioles,Miami Marlins,0 - 1
155,2,05/08/2020 22:05,Nationals Park,Washington Nationals,New York Mets,1 - 3
156,2,05/08/2020 22:40,Tropicana Field,Tampa Bay Rays,Boston Red Sox,0 - 5
157,2,05/08/2020 23:05,PNC Park,Pittsburgh Pirates,Minnesota Twins,2 - 5
158,2,05/08/2020 23:10,Progressive Field,Cleveland Indians,Cincinnati Reds,2 - 0
159,2,05/08/2020 23:10,Truist Park,Atlanta Braves,Toronto Blue Jays,1 - 2
160,2,06/08/2020 00:05,Kauffman Stadium,Kansas City Royals,Chicago Cubs,1 - 6
161,2,06/08/2020 00:10,Guaranteed Rate Field,Chicago White Sox,Milwaukee Brewers,0 - 1
162,2,06/08/2020 00:40,Coors Field,Colorado Rockies,San Francisco Giants,3 - 4
163,2,06/08/2020 01:10,Chase Field,Arizona Diamondbacks,Houston Astros,14 - 7
164,2,06/08/2020 01:10,Petco Park,San Diego Padres,Los Angeles Dodgers,6 - 7
165,2,06/08/2020 01:10,Oakland Coliseum,Oakland Athletics,Texas Rangers,6 - 4
166,2,06/08/2020 01:40,T-Mobile Park,Seattle Mariners,Los Angeles Angels,7 - 6
167,3,06/08/2020 17:35,PNC Park,Pittsburgh Pirates,Minnesota Twins,6 - 5
168,3,06/08/2020 19:10,Coors Field,Colorado Rockies,San Francisco Giants,6 - 4
169,3,06/08/2020 19:40,Oakland Coliseum,Oakland Athletics,Texas Rangers,6 - 4
170,3,06/08/2020 20:10,T-Mobile Park,Seattle Mariners,Los Angeles Angels,1 - 6
171,3,06/08/2020 22:05,Citizens Bank Park,Philadelphia Phillies,New York Yankees,5 - 4
172,3,06/08/2020 22:10,Progressive Field,Cleveland Indians,Cincinnati Reds,13 - 0
173,3,06/08/2020 23:07,Chase Field,Arizona Diamondbacks,Houston Astros,5 - 4
174,3,06/08/2020 23:07,Kauffman Stadium,Kansas City Royals,Chicago Cubs,13 - 2
175,3,06/08/2020 23:10,Truist Park,Atlanta Braves,Toronto Blue Jays,4 - 3
176,3,06/08/2020 23:35,Oriole Park at Camden Yards,Miami Marlins,Baltimore Orioles,8 - 7
177,3,07/08/2020 00:10,Guaranteed Rate Field,Chicago White Sox,Milwaukee Brewers,3 - 8
178,3,07/08/2020 22:05,Nationals Park,Washington Nationals,Baltimore Orioles,0 - 11
179,3,07/08/2020 22:40,Tropicana Field,Tampa Bay Rays,New York Yankees,1 - 0
180,3,07/08/2020 23:05,PNC Park,Pittsburgh Pirates,Detroit Tigers,13 - 17
181,3,07/08/2020 23:10,Citi Field,New York Mets,Miami Marlins,3 - 4
182,3,07/08/2020 23:30,Fenway Park,Boston Red Sox,Toronto Blue Jays,5 - 3
183,3,08/08/2020 00:05,Kauffman Stadium,Kansas City Royals,Minnesota Twins,3 - 2
184,3,08/08/2020 00:10,Guaranteed Rate Field,Chicago White Sox,Cleveland Indians,2 - 0
185,3,08/08/2020 00:10,Miller Park,Milwaukee Brewers,Cincinnati Reds,3 - 8
186,3,08/08/2020 01:05,Globe Life Field,Texas Rangers,Los Angeles Angels,4 - 3
187,3,08/08/2020 01:10,Oakland Coliseum,Oakland Athletics,Houston Astros,3 - 2
188,3,08/08/2020 01:10,Petco Park,San Diego Padres,Arizona Diamondbacks,3 - 0
189,3,08/08/2020 01:40,T-Mobile Park,Seattle Mariners,Colorado Rockies,4 - 8
190,3,08/08/2020 01:40,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,7 - 2
191,3,08/08/2020 03:33,Tropicana Field,Tampa Bay Rays,New York Yankees,5 - 3
192,3,08/08/2020 18:10,Guaranteed Rate Field,Chicago White Sox,Cleveland Indians,1 - 7
193,3,08/08/2020 18:10,Tropicana Field,Tampa Bay Rays,New York Yankees,4 - 8
194,3,08/08/2020 20:05,PNC Park,Pittsburgh Pirates,Detroit Tigers,5 - 11
195,3,08/08/2020 20:10,Oakland Coliseum,Oakland Athletics,Houston Astros,3 - 1
196,3,08/08/2020 22:05,Nationals Park,Washington Nationals,Baltimore Orioles,3 - 5
197,3,08/08/2020 22:05,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,5 - 0
198,3,08/08/2020 23:05,Globe Life Field,Texas Rangers,Los Angeles Angels,2 - 0
199,3,08/08/2020 23:05,Kauffman Stadium,Kansas City Royals,Minnesota Twins,9 - 6
200,3,08/08/2020 23:10,Citi Field,New York Mets,Miami Marlins,8 - 4
201,3,08/08/2020 23:10,Miller Park,Milwaukee Brewers,Cincinnati Reds,1 - 4
202,3,08/08/2020 23:30,Fenway Park,Boston Red Sox,Toronto Blue Jays,1 - 2
203,3,09/08/2020 01:10,Petco Park,San Diego Padres,Arizona Diamondbacks,2 - 3
204,3,09/08/2020 01:10,T-Mobile Park,Seattle Mariners,Colorado Rockies,0 - 5
205,3,09/08/2020 01:10,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,4 - 5
206,3,09/08/2020 03:33,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,0 - 8
207,3,09/08/2020 16:35,Nationals Park,Washington Nationals,Baltimore Orioles,2 - 6
208,3,09/08/2020 17:05,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,2 - 5
209,3,09/08/2020 17:10,Citi Field,New York Mets,Miami Marlins,4 - 2
210,3,09/08/2020 17:10,Tropicana Field,Tampa Bay Rays,New York Yankees,4 - 3
211,3,09/08/2020 17:35,PNC Park,Pittsburgh Pirates,Detroit Tigers,1 - 2
212,3,09/08/2020 17:35,Fenway Park,Boston Red Sox,Toronto Blue Jays,5 - 3
213,3,09/08/2020 18:05,Kauffman Stadium,Kansas City Royals,Minnesota Twins,4 - 2
214,3,09/08/2020 18:10,Miller Park,Milwaukee Brewers,Cincinnati Reds,9 - 3
215,3,09/08/2020 18:35,Globe Life Field,Texas Rangers,Los Angeles Angels,7 - 3
216,3,09/08/2020 20:10,Oakland Coliseum,Oakland Athletics,Houston Astros,7 - 2
217,3,09/08/2020 20:10,Petco Park,San Diego Padres,Arizona Diamondbacks,9 - 5
218,3,09/08/2020 20:10,T-Mobile Park,Seattle Mariners,Colorado Rockies,5 - 3
219,3,09/08/2020 20:10,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,6 - 2
220,3,09/08/2020 23:08,Guaranteed Rate Field,Chicago White Sox,Cleveland Indians,4 - 5
221,3,10/08/2020 22:05,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,13 - 8
222,3,10/08/2020 23:10,Citi Field,New York Mets,Washington Nationals,4 - 16
223,3,10/08/2020 23:10,Comerica Park,Detroit Tigers,Chicago White Sox,5 - 1
224,3,10/08/2020 23:30,Fenway Park,Boston Red Sox,Tampa Bay Rays,7 - 8
225,3,11/08/2020 00:10,Miller Park,Milwaukee Brewers,Minnesota Twins,2 - 4
226,3,11/08/2020 00:40,Coors Field,Colorado Rockies,Arizona Diamondbacks,8 - 12
227,3,11/08/2020 01:05,Globe Life Field,Texas Rangers,Seattle Mariners,2 - 10
228,3,11/08/2020 01:10,Minute Maid Park,Houston Astros,San Francisco Giants,6 - 4
229,3,11/08/2020 01:40,Angel Stadium,Los Angeles Angels,Oakland Athletics,10 - 9
230,3,11/08/2020 01:40,Dodger Stadium,Los Angeles Dodgers,San Diego Padres,1 - 2
231,3,11/08/2020 22:37,Sahlen Field,Toronto Blue Jays,Miami Marlins,5 - 4
232,3,11/08/2020 22:40,Great American Ball Park,Cincinnati Reds,Kansas City Royals,6 - 5
233,3,11/08/2020 23:05,Citizens Bank Park,Philadelphia Phillies,Baltimore Orioles,9 - 10
234,3,11/08/2020 23:05,Yankee Stadium,New York Yankees,Atlanta Braves,9 - 6
235,3,11/08/2020 23:10,Progressive Field,Cleveland Indians,Chicago Cubs,1 - 7
236,3,11/08/2020 23:10,Citi Field,New York Mets,Washington Nationals,1 - 2
237,3,11/08/2020 23:10,Comerica Park,Detroit Tigers,Chicago White Sox,4 - 8
238,3,11/08/2020 23:30,Fenway Park,Boston Red Sox,Tampa Bay Rays,2 - 8
239,3,12/08/2020 00:10,Miller Park,Milwaukee Brewers,Minnesota Twins,6 - 4
240,3,12/08/2020 00:40,Coors Field,Colorado Rockies,Arizona Diamondbacks,8 - 7
241,3,12/08/2020 01:05,Globe Life Field,Texas Rangers,Seattle Mariners,4 - 2
242,3,12/08/2020 01:10,Minute Maid Park,Houston Astros,San Francisco Giants,6 - 7
243,3,12/08/2020 01:40,Angel Stadium,Los Angeles Angels,Oakland Athletics,6 - 0
244,3,12/08/2020 01:40,Dodger Stadium,Los Angeles Dodgers,San Diego Padres,2 - 6
245,3,12/08/2020 17:10,Comerica Park,Detroit Tigers,Chicago White Sox,5 - 7
246,3,12/08/2020 19:10,Coors Field,Colorado Rockies,Arizona Diamondbacks,7 - 13
247,3,12/08/2020 20:10,Angel Stadium,Los Angeles Angels,Oakland Athletics,4 - 8
248,3,12/08/2020 22:10,Progressive Field,Cleveland Indians,Chicago Cubs,2 - 7
249,3,12/08/2020 22:37,Sahlen Field,Toronto Blue Jays,Miami Marlins,11 - 14
250,3,12/08/2020 22:40,Great American Ball Park,Cincinnati Reds,Kansas City Royals,4 - 5
251,3,12/08/2020 23:05,Citizens Bank Park,Philadelphia Phillies,Baltimore Orioles,4 - 5
252,3,12/08/2020 23:05,Yankee Stadium,New York Yankees,Atlanta Braves,6 - 3
253,3,12/08/2020 23:10,Citi Field,New York Mets,Washington Nationals,11 - 6
254,3,12/08/2020 23:10,Minute Maid Park,Houston Astros,San Francisco Giants,5 - 1
255,3,12/08/2020 23:10,Miller Park,Milwaukee Brewers,Minnesota Twins,2 - 12
256,3,12/08/2020 23:30,Fenway Park,Boston Red Sox,Tampa Bay Rays,5 - 9
257,3,13/08/2020 01:05,Globe Life Field,Texas Rangers,Seattle Mariners,7 - 4
258,3,13/08/2020 01:40,Dodger Stadium,Los Angeles Dodgers,San Diego Padres,6 - 0
259,4,13/08/2020 17:10,Citi Field,New York Mets,Washington Nationals,8 - 2
260,4,13/08/2020 20:05,Citizens Bank Park,Philadelphia Phillies,Baltimore Orioles,4 - 11
261,4,13/08/2020 20:30,Fenway Park,Boston Red Sox,Tampa Bay Rays,8 - 17
262,4,13/08/2020 21:10,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,6 - 9
263,4,13/08/2020 23:15,Wrigley Field,Chicago Cubs,Milwaukee Brewers,4 - 2
264,4,14/08/2020 01:40,Dodger Stadium,Los Angeles Dodgers,San Diego Padres,11 - 2
265,4,14/08/2020 21:05,Oriole Park at Camden Yards,Washington Nationals,Baltimore Orioles,2 - 6
266,4,14/08/2020 22:37,Sahlen Field,Toronto Blue Jays,Tampa Bay Rays,12 - 4
267,4,14/08/2020 22:59,Oriole Park at Camden Yards,Baltimore Orioles,Washington Nationals,3 - 15
268,4,14/08/2020 23:05,Citizens Bank Park,Philadelphia Phillies,New York Mets,6 - 5
269,4,14/08/2020 23:05,Yankee Stadium,New York Yankees,Boston Red Sox,10 - 3
270,4,14/08/2020 23:10,Comerica Park,Detroit Tigers,Cleveland Indians,5 - 10
271,4,14/08/2020 23:10,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,8 - 1
272,4,14/08/2020 23:10,Marlins Park,Miami Marlins,Atlanta Braves,8 - 2
273,4,15/08/2020 00:15,Wrigley Field,Chicago Cubs,Milwaukee Brewers,3 - 4
274,4,15/08/2020 00:40,Coors Field,Colorado Rockies,Texas Rangers,2 - 3
275,4,15/08/2020 01:10,Minute Maid Park,Houston Astros,Seattle Mariners,11 - 1
276,4,15/08/2020 01:40,Angel Stadium,Los Angeles Angels,Los Angeles Dodgers,4 - 7
277,4,15/08/2020 01:40,Chase Field,Arizona Diamondbacks,San Diego Padres,5 - 1
278,4,15/08/2020 01:45,Oracle Park,San Francisco Giants,Oakland Athletics,7 - 8
279,4,15/08/2020 07:33,Guaranteed Rate Field,Chicago White Sox,St. Louis Cardinals,3 - 6
280,4,15/08/2020 07:33,Target Field,Minnesota Twins,Kansas City Royals,2 - 4
281,4,15/08/2020 17:10,Guaranteed Rate Field,Chicago White Sox,St. Louis Cardinals,1 - 5
282,4,15/08/2020 17:35,Target Field,Minnesota Twins,Kansas City Royals,4 - 2
283,4,15/08/2020 19:20,Wrigley Field,Chicago Cubs,Milwaukee Brewers,5 - 6
284,4,15/08/2020 22:05,Citizens Bank Park,Philadelphia Phillies,New York Mets,6 - 2
285,4,15/08/2020 22:10,Comerica Park,Detroit Tigers,Cleveland Indians,1 - 3
286,4,15/08/2020 22:10,Marlins Park,Miami Marlins,Atlanta Braves,1 - 2
287,4,15/08/2020 22:37,Sahlen Field,Toronto Blue Jays,Tampa Bay Rays,2 - 3
288,4,15/08/2020 23:07,Oracle Park,San Francisco Giants,Oakland Athletics,6 - 7
289,4,15/08/2020 23:07,Yankee Stadium,New York Yankees,Boston Red Sox,11 - 5
290,4,15/08/2020 23:10,Minute Maid Park,Houston Astros,Seattle Mariners,2 - 1
291,4,15/08/2020 23:35,Oriole Park at Camden Yards,Baltimore Orioles,Washington Nationals,7 - 3
292,4,16/08/2020 00:10,Chase Field,Arizona Diamondbacks,San Diego Padres,7 - 6
